AAMU
AITA
AIKA
AJAA
ALLAS
AMME
ANKKA
APINA
ARPA
ASTIA
AUTO
AVAIN
AVATA
AARRE
ELÄIN
ESINE
ETANA
HAME
HANA
HARJA
HATTU
HEINÄ
HIIHTO
HIIRI
HILJAA
HINTA
HISSI
HUILU
HURJA
HYPPY
HYVÄ
HÄNTÄ
HÖYRY
HARMAA
HERNE
HETKI
HEITTO
IHME
ILMA
ILTA
IMURI
IRTI
ITKU
JALKA
JANO
JARRU
JOKI
JUHLA
JUOMA
JUOSTA
JUUSTO
KALA
KANA
KARHU
KATTO
KATSE
KEINU
KELLO
KENKÄ
KETJU
KETTU
KEVYT
KIELI
KIRJA
KISSA
KIVI
KOIRA
KOKKI
KONE
KORVA
KOTI
KUKKA
KUOPPA
KUUMA
KUUSI
KYLMÄ
KYNÄ
KÄPY
KÄSI
KÖYSI
LAIVA
LANKA
LAPIO
LAPSI
LAULU
LEHTI
LEIKKI
LEIPÄ
LENTÄÄ
LIIMA
LINTU
LIPPU
LOHI
LOKKI
LOPPU
LOUNAS
LUOLA
LYHYT
LÄMPÖ
MAALI
MAITO
MAJA
MATO
MEHU
MEKKO
MELU
METSÄ
MIES
MUOVI
MUURI
MYYDÄ
MÄKI
MÖKKI
NALLE
NAPPI
NENÄ
NOKKA
NOPEA
NUKKE
NÄLKÄ
OHJE
OIKEA
OMENA
ONNI
OPPIA
ORAVA
PALLO
PAPERI
PARTA
PATA
PEHMEÄ
PEILI
PELTO
PELKO
PENKKI
PESÄ
PIENI
PIHA
PILVI
PIPARI
PITKÄ
POIKA
POLKU
PONI
PORO
PORTTI
POTKU
PULLO
PULMA
PUSSI
PÄIVÄ
PÖYTÄ
RAHA
RAITA
RANTA
REPPU
RINNE
RISTI
SAARI
SADE
SATU
SAVU
SEINÄ
SIILI
SILTA
SOLMU
SORMI
SUOLA
SUORA
SUURI
SYLI
TAIKA
TAIMI
TAKKA
TALO
TAPPI
TASSU
TAUKO
TEHDÄ
TELTTA
TIILI
TIKKU
TULLA
UIDA
ULOS
UPOTA
URHEA
UUSI
UUNI
VAATE
VAHVA
VALO
VARJO
VARMA
VASEN
VELI
VERHO
VETÄÄ
VIHKO
VIHREÄ
VIIVA
VIRHE
VITSI
VOIMA
VUORI
VÄRI
VÄSYÄ
